applicant_name,age,gender,marital_status,dependents,education,employment_type,years_of_employment,monthly_income,bank_balance,existing_emi,existing_loan_amount,debt_to_income_ratio,credit_score,credit_history,previous_defaults,loan_amount_requested,loan_tenure,loan_purpose,collateral_value,property_area,loan_status,loan_to_income_ratio,collateral_to_loan_ratio,net_disposable_income,income_per_dependent
68,25,0,1,1,0,2,3.4,105792.82,341986.64,34537.32,710366.91,32.65,642,0,3,5367597.1,12,0,8768503.41,0,0,4.2280729290828365,1.6335994014901007,71255.5,52896.41
615,55,1,0,0,0,2,8.1,70646.84,413788.44,17518.69,757000.72,24.8,629,1,0,554278.93,180,5,1794.68,2,1,0.653814251753275,0.003237864372726562,53128.149999999994,70646.84
180,50,0,0,0,0,1,20.8,36860.98,167008.77,14654.71,702965.55,39.76,539,0,0,2265165.42,180,0,2617736.16,2,0,5.120964906521747,1.1556490033297437,22206.270000000004,36860.98
373,40,0,1,0,0,2,9.8,149049.37,1180964.93,21927.37,1123073.35,14.71,538,1,0,198749.8,120,3,205529.99,1,1,0.11112078724877088,1.034114197850765,127122.0,149049.37
696,40,0,1,0,1,2,5.7,158239.79,732011.2,22384.72,1268709.69,14.15,658,0,1,10000000.0,12,2,9391812.97,2,0,5.266269206584092,0.9391812970000001,135855.07,158239.79
738,59,1,0,0,0,2,9.8,59389.61,402120.66,16963.64,785689.5,28.56,614,0,3,4966926.09,360,2,6027972.37,2,0,6.969409421951077,1.2136223210843067,42425.97,59389.61
871,24,0,0,2,0,2,2.9,75651.66,61280.63,25464.89,408016.04,33.66,753,0,0,145593.31,24,3,4267.72,2,1,0.16037686196619258,0.029312610586296858,50186.770000000004,25217.22
779,52,0,1,1,0,2,21.5,33467.26,43515.24,8569.71,144733.83,25.61,577,1,0,2369399.48,36,2,2859.29,2,1,5.899794505635259,0.0012067572497314804,24897.550000000003,16733.63
328,30,1,0,2,0,2,11.6,37614.97,76036.7,10392.28,454494.1,27.63,699,1,0,540348.83,180,0,537298.13,2,1,1.1971050134206318,0.994354202636101,27222.690000000002,12538.323333333334
1130,25,0,1,0,0,4,0.0,10000.0,22776.13,2877.56,40627.87,28.78,615,1,1,187123.71,300,6,223504.61,0,1,1.55936425,1.1944216475827676,7122.4400000000005,10000.0
789,44,1,1,1,0,2,16.9,100626.51,148033.19,44594.3,596238.94,44.32,651,0,1,10000000.0,240,2,11775552.77,1,0,8.281449225788844,1.177555277,56032.20999999999,50313.255
282,64,0,1,0,1,4,0.0,10000.0,57331.65,1796.18,71739.25,17.96,365,1,4,645820.09,36,2,994248.94,2,0,5.381834083333333,1.539513798649404,8203.82,10000.0
